Cultivo,Ubicaciones,Rendimiento,Tamaño,Fertilizantes
cherry,El Ejido,7.91,4,False
kumato,El Alquian,5.24,4,False
rosa,El Ejido,1.92,2,False
cherry,El Alquian,7.05,4,False
Raf,Nijar,7.38,2,False
rosa,La Mojonera,0.89,3,False
 de pera,Nijar,1.82,2,True
bola,Campohermoso,0.96,1,True
bola,La Mojonera,0.67,3,True
 de pera,La Mojonera,6.4,1,False
cherry,El Alquian,8.47,2,False
cherry,El Ejido,6.7,4,False
Raf,La Mojonera,6.12,3,True
kumato,El Alquian,7.31,1,True
bola,Campohermoso,0.6,4,False
rosa,La Mojonera,4.99,1,True
Raf,Nijar,8.79,1,True
bola,Campohermoso,2.84,1,True
rosa,El Ejido,8.48,1,False
rosa,El Alquian,7.08,1,True
Raf,El Ejido,2.5,4,True
verde,Campohermoso,9.78,1,True
Raf,La Mojonera,7.1,3,True
rosa,La Mojonera,5.4,3,True
cherry,El Ejido,2.85,3,True
bola,Campohermoso,2.85,4,True
cherry,Campohermoso,5.0,3,False
Raf,El Ejido,9.6,1,False
verde,El Alquian,9.69,2,True
 de pera,La Mojonera,0.63,2,False
corazon de buey,La Mojonera,9.36,1,True
bola,La Mojonera,3.41,4,False
 de pera,El Alquian,7.82,3,False
corazon de buey,La Mojonera,6.6,4,False
bola,El Ejido,7.13,3,False
rosa,Campohermoso,7.71,3,True
Raf,Campohermoso,3.69,3,False
kumato,Nijar,5.7,4,False
bola,Campohermoso,6.26,3,False
rosa,Nijar,0.32,4,True
verde,El Alquian,6.22,3,False
verde,Campohermoso,6.9,1,False
 de pera,El Alquian,4.03,1,False
cherry,La Mojonera,5.96,2,False
bola,El Ejido,7.92,1,False
rosa,Campohermoso,6.16,1,True
corazon de buey,El Alquian,0.57,3,True
 de pera,Campohermoso,8.07,3,False
cherry,El Ejido,6.91,2,False
cherry,La Mojonera,4.45,2,True
kumato,El Ejido,7.39,3,True
verde,La Mojonera,6.07,2,True
corazon de buey,Campohermoso,8.52,2,False
kumato,Campohermoso,9.33,4,True
verde,El Alquian,0.1,1,False
Raf,La Mojonera,6.7,1,False
bola,El Alquian,0.35,3,True
corazon de buey,El Ejido,0.59,1,False
corazon de buey,Campohermoso,6.99,3,True
bola,Nijar,9.6,1,False
cherry,Nijar,9.66,3,False
corazon de buey,El Ejido,4.13,3,True
corazon de buey,El Alquian,3.44,4,False
Raf,Campohermoso,8.53,1,True
kumato,Nijar,3.89,1,False
verde,Nijar,5.34,2,True
verde,El Ejido,7.98,3,True
rosa,Nijar,1.81,2,False
 de pera,El Alquian,1.49,3,False
rosa,La Mojonera,7.27,2,True
bola,El Alquian,5.02,1,False
cherry,La Mojonera,9.28,4,False
kumato,Nijar,8.12,1,True
kumato,El Ejido,9.09,3,True
cherry,Nijar,8.12,4,False
kumato,Nijar,1.66,4,False
kumato,El Alquian,6.87,2,False
verde,El Alquian,5.15,3,True
bola,El Alquian,4.24,1,True
verde,Campohermoso,8.57,1,False
cherry,La Mojonera,0.35,1,False
cherry,El Ejido,5.22,4,True
cherry,El Alquian,9.54,3,True
cherry,Nijar,3.27,4,False
Raf,El Ejido,0.06,2,False
verde,El Alquian,9.7,2,True
 de pera,El Alquian,5.89,3,False
verde,Campohermoso,8.73,2,True
bola,La Mojonera,3.24,1,True
verde,Campohermoso,5.8,1,False
Raf,Campohermoso,2.38,1,True
corazon de buey,El Ejido,1.29,4,True
verde,Campohermoso,7.8,3,False
kumato,Campohermoso,1.17,4,True
 de pera,La Mojonera,9.32,2,True
bola,Nijar,8.29,3,False
 de pera,El Ejido,5.84,1,True
Raf,Campohermoso,6.39,2,True
Raf,El Ejido,8.81,4,True
rosa,El Ejido,7.28,1,True
Raf,Nijar,6.29,4,True
verde,El Ejido,0.27,4,True
 de pera,Campohermoso,8.42,4,False
 de pera,Campohermoso,0.62,3,True
bola,Nijar,6.54,4,False
Raf,Nijar,3.6,4,False
kumato,El Ejido,8.86,1,False
corazon de buey,La Mojonera,0.82,4,True
kumato,El Alquian,6.28,1,False
cherry,El Alquian,9.28,4,True
bola,El Alquian,7.34,4,False
 de pera,El Alquian,6.88,1,False
corazon de buey,Nijar,7.72,3,True
cherry,Campohermoso,8.84,2,True
 de pera,Campohermoso,4.61,4,True
kumato,La Mojonera,8.05,3,True
corazon de buey,El Ejido,2.12,3,False
bola,Campohermoso,9.4,3,True
cherry,Campohermoso,8.51,2,False
Raf,El Ejido,4.1,3,False
Raf,Nijar,4.54,1,False
Raf,El Ejido,7.55,3,True
rosa,Campohermoso,4.95,1,False
kumato,El Alquian,3.9,4,True
bola,El Ejido,3.42,3,True
rosa,La Mojonera,0.94,3,False
bola,El Alquian,0.93,2,True
kumato,El Alquian,8.4,3,False
rosa,Nijar,4.51,2,False
bola,La Mojonera,4.04,2,False
rosa,Nijar,2.03,2,True
bola,Nijar,7.27,3,True
Raf,El Alquian,0.16,2,True
kumato,Campohermoso,7.81,3,False
corazon de buey,La Mojonera,7.45,1,True
rosa,Campohermoso,7.15,2,True
bola,El Alquian,8.22,2,False
corazon de buey,Campohermoso,4.02,1,True
Raf,El Alquian,7.77,1,False
Raf,Campohermoso,3.31,4,False
Raf,La Mojonera,3.65,1,False
 de pera,La Mojonera,5.57,2,False
cherry,Campohermoso,8.23,3,False
corazon de buey,El Ejido,9.25,2,True
 de pera,El Alquian,6.22,1,False
rosa,El Alquian,8.07,3,False
 de pera,Nijar,4.68,1,True
 de pera,La Mojonera,4.83,2,True
corazon de buey,La Mojonera,7.71,2,True
kumato,Campohermoso,0.16,3,False
rosa,Campohermoso,0.53,2,True
verde,Nijar,4.31,4,True
Raf,El Alquian,2.37,4,True
 de pera,Campohermoso,5.24,3,True
cherry,El Ejido,5.06,1,True
verde,Campohermoso,7.21,2,True
 de pera,El Alquian,0.17,1,True
cherry,Nijar,6.37,2,True
Raf,La Mojonera,5.19,4,True
cherry,La Mojonera,6.09,1,False
kumato,La Mojonera,1.2,4,False
verde,El Ejido,2.29,1,False
bola,Campohermoso,3.37,3,False
 de pera,La Mojonera,6.77,1,False
rosa,El Ejido,2.63,1,True
bola,Nijar,1.05,3,True
corazon de buey,El Alquian,3.68,4,True
corazon de buey,El Ejido,3.65,1,True
 de pera,El Alquian,1.7,1,False
 de pera,El Alquian,5.4,2,False
kumato,El Ejido,4.77,4,False
kumato,Campohermoso,2.23,2,True
 de pera,El Alquian,0.58,3,True
 de pera,El Alquian,9.53,3,False
kumato,El Ejido,2.66,3,False
bola,La Mojonera,6.64,4,False
Raf,Nijar,0.25,4,True
 de pera,El Alquian,3.15,2,True
kumato,Nijar,8.48,1,False
cherry,Nijar,7.74,4,True
bola,Nijar,2.6,1,False
rosa,Campohermoso,3.87,2,True
cherry,Nijar,2.93,3,False
 de pera,El Ejido,4.23,2,False
Raf,El Ejido,7.75,3,False
 de pera,El Ejido,6.21,3,True
kumato,El Ejido,9.2,3,False
verde,La Mojonera,5.88,1,False
 de pera,La Mojonera,3.4,1,False
bola,Nijar,2.24,2,False
kumato,Campohermoso,2.96,3,False
bola,Campohermoso,9.62,3,True
kumato,La Mojonera,3.7,2,True
bola,El Ejido,1.64,3,True
corazon de buey,La Mojonera,3.22,1,True
 de pera,La Mojonera,5.29,1,True
kumato,El Ejido,1.15,2,True
Raf,El Ejido,8.58,2,False
cherry,Nijar,0.73,2,False
kumato,El Ejido,0.21,2,True
corazon de buey,El Ejido,0.29,3,True
bola,Nijar,5.46,2,False
rosa,Nijar,8.11,2,False
kumato,Campohermoso,5.07,1,True
kumato,Campohermoso,3.98,1,False
rosa,Campohermoso,7.96,2,False
Raf,Nijar,3.92,1,False
corazon de buey,Campohermoso,2.98,3,False
cherry,El Ejido,8.15,1,True
 de pera,Campohermoso,1.1,4,False
Raf,La Mojonera,8.72,1,True
 de pera,Campohermoso,8.93,1,False
verde,Nijar,6.48,3,True
kumato,El Ejido,0.79,2,False
kumato,El Alquian,1.32,1,True
kumato,El Alquian,4.82,3,False
Raf,La Mojonera,6.92,1,False
bola,Campohermoso,7.01,3,False
rosa,La Mojonera,5.0,4,True
kumato,Nijar,3.36,4,True
cherry,Nijar,0.31,3,False
kumato,El Ejido,0.35,3,False
Raf,Campohermoso,5.15,4,False
bola,Campohermoso,7.09,2,False
corazon de buey,El Ejido,4.8,2,False
kumato,El Ejido,9.58,2,False
corazon de buey,El Ejido,6.13,2,True
Raf,Nijar,5.77,4,True
corazon de buey,La Mojonera,8.82,2,False
kumato,Nijar,7.12,3,False
kumato,La Mojonera,1.76,1,False
corazon de buey,El Alquian,2.09,1,False
corazon de buey,Nijar,7.85,3,False
rosa,El Ejido,4.1,1,False
verde,El Ejido,4.63,4,True
bola,Nijar,1.75,4,False
bola,El Ejido,5.77,4,True
kumato,Nijar,1.46,4,False
Raf,Campohermoso,7.82,4,True
verde,El Alquian,8.84,3,True
corazon de buey,La Mojonera,0.76,4,False
verde,La Mojonera,7.48,1,False
cherry,La Mojonera,5.33,1,False
bola,Nijar,2.71,3,False
rosa,Campohermoso,0.95,2,False
Raf,La Mojonera,9.33,3,True
 de pera,El Ejido,4.26,4,True
kumato,La Mojonera,4.42,3,True
 de pera,El Alquian,0.5,1,True
cherry,Campohermoso,0.12,3,True
cherry,El Alquian,9.83,4,False
kumato,El Ejido,6.02,1,False
corazon de buey,El Ejido,7.97,3,False
corazon de buey,Campohermoso,7.44,4,False
rosa,La Mojonera,1.56,4,True
rosa,La Mojonera,3.24,3,True
rosa,Campohermoso,9.68,3,True
bola,Nijar,1.22,1,False
verde,El Alquian,2.18,4,False
bola,Campohermoso,1.88,4,False
cherry,La Mojonera,7.29,1,False
Raf,El Ejido,3.89,1,True
 de pera,La Mojonera,2.91,3,True
Raf,Campohermoso,0.73,4,False
bola,La Mojonera,4.9,3,True
rosa,Campohermoso,4.91,4,True
cherry,La Mojonera,0.2,1,True
Raf,Campohermoso,9.35,3,True
 de pera,El Ejido,0.31,1,False
corazon de buey,El Ejido,7.49,3,True
kumato,Campohermoso,2.97,4,False
 de pera,Campohermoso,2.2,1,True
Raf,La Mojonera,3.66,1,False
 de pera,Campohermoso,4.03,4,True
cherry,La Mojonera,3.43,3,True
kumato,Nijar,0.18,3,True
cherry,El Alquian,5.07,1,True
kumato,La Mojonera,3.65,1,False
cherry,El Alquian,6.16,3,False
Raf,El Alquian,5.41,4,True
 de pera,Nijar,0.59,2,False
kumato,Nijar,1.38,4,True
rosa,Nijar,0.15,1,False
bola,La Mojonera,1.47,2,False
cherry,La Mojonera,1.85,4,False
bola,Campohermoso,0.28,4,True
 de pera,Campohermoso,2.6,3,True
Raf,La Mojonera,6.79,4,True
Raf,Nijar,7.95,4,False
rosa,El Ejido,3.49,2,True
verde,El Alquian,0.02,1,False
bola,El Ejido,7.69,1,False
kumato,Campohermoso,4.2,3,False
verde,Campohermoso,0.87,2,True
cherry,El Ejido,9.47,2,True
corazon de buey,El Ejido,8.16,3,True
corazon de buey,Campohermoso,5.47,1,True
cherry,El Alquian,1.07,1,True
corazon de buey,La Mojonera,4.34,4,True
cherry,El Alquian,2.3,4,False
corazon de buey,El Ejido,2.74,1,True
corazon de buey,Nijar,1.84,3,False
bola,El Ejido,4.41,1,True
cherry,El Alquian,6.52,1,True
bola,Campohermoso,2.15,4,False
rosa,El Alquian,8.26,1,False
bola,La Mojonera,2.76,4,True
 de pera,Campohermoso,1.12,4,False
bola,Nijar,0.87,3,False
corazon de buey,La Mojonera,4.83,4,False
bola,El Ejido,2.23,3,False
verde,La Mojonera,1.74,4,False
cherry,Campohermoso,7.32,3,False
verde,La Mojonera,5.96,4,False
rosa,La Mojonera,8.31,4,True
kumato,El Alquian,8.07,4,False
cherry,La Mojonera,9.01,4,False
kumato,El Ejido,7.7,1,False
bola,El Alquian,3.69,3,False
bola,El Ejido,9.47,2,True
kumato,Campohermoso,6.68,4,True
corazon de buey,Nijar,8.8,2,False
verde,La Mojonera,5.05,1,True
verde,Nijar,3.43,2,True
cherry,El Alquian,1.29,2,True
cherry,El Ejido,1.19,3,True
Raf,La Mojonera,3.8,3,True
bola,El Ejido,0.0,2,False
rosa,Campohermoso,0.31,4,True
corazon de buey,El Alquian,7.46,3,False
 de pera,La Mojonera,0.25,4,False
corazon de buey,Campohermoso,1.42,3,True
kumato,El Alquian,3.34,2,True
cherry,El Ejido,3.61,4,True
Raf,Campohermoso,7.38,1,False
rosa,La Mojonera,4.17,1,True
Raf,El Alquian,8.7,2,True
Raf,Campohermoso,7.61,3,False
Raf,La Mojonera,0.9,2,True
cherry,La Mojonera,1.68,2,True
rosa,Campohermoso,4.82,4,True
cherry,La Mojonera,0.13,3,False
rosa,El Alquian,2.23,1,True
corazon de buey,La Mojonera,6.9,3,False
 de pera,Nijar,2.33,4,True
verde,Campohermoso,4.17,4,True
corazon de buey,La Mojonera,4.03,1,True
 de pera,El Alquian,4.49,2,False
Raf,El Ejido,6.64,3,True
kumato,Campohermoso,2.87,3,True
verde,Campohermoso,2.62,3,False
bola,El Ejido,0.0,2,True
 de pera,La Mojonera,3.86,3,False
verde,Nijar,1.01,3,True
verde,El Ejido,5.03,1,True
bola,La Mojonera,5.11,1,False
kumato,El Ejido,2.54,1,False
kumato,El Ejido,3.5,4,False
verde,Nijar,9.68,2,False
kumato,Campohermoso,2.01,1,False
kumato,El Alquian,3.27,1,True
kumato,Campohermoso,9.9,3,True
kumato,Nijar,5.6,3,False
cherry,La Mojonera,9.64,4,False
corazon de buey,Campohermoso,1.05,2,True
kumato,El Ejido,7.25,4,False
verde,La Mojonera,2.12,3,True
corazon de buey,Campohermoso,8.31,3,True
corazon de buey,El Ejido,9.43,1,True
cherry,El Alquian,5.86,1,False
verde,El Alquian,8.1,2,True
verde,El Ejido,2.36,4,False
cherry,El Ejido,4.96,2,False
Raf,El Alquian,3.36,3,False
bola,Campohermoso,8.64,2,False
cherry,Nijar,7.81,4,True
Raf,Nijar,8.79,2,True
corazon de buey,La Mojonera,7.42,2,True
cherry,El Alquian,5.01,3,False
corazon de buey,El Ejido,2.48,1,True
bola,El Ejido,9.75,4,False
verde,Campohermoso,7.14,4,True
kumato,Nijar,7.2,3,False
bola,El Ejido,4.52,4,False
rosa,La Mojonera,6.95,1,True
verde,Nijar,0.17,1,False
bola,La Mojonera,2.6,1,False
rosa,Campohermoso,8.11,4,False
corazon de buey,El Alquian,9.47,2,True
corazon de buey,El Alquian,2.74,3,True
kumato,La Mojonera,9.13,2,False
Raf,El Alquian,0.1,3,True
corazon de buey,El Ejido,3.04,1,True
 de pera,La Mojonera,5.54,3,False
bola,Nijar,7.01,4,False
 de pera,El Alquian,6.93,3,False
Raf,La Mojonera,8.65,4,False
corazon de buey,El Ejido,4.48,2,True
rosa,El Ejido,0.07,3,False
verde,Campohermoso,0.29,4,False
rosa,El Ejido,7.13,1,False
rosa,Nijar,4.39,1,False
cherry,Nijar,2.02,4,False
verde,Campohermoso,7.49,2,True
bola,Nijar,2.28,1,True
bola,El Alquian,5.4,3,True
verde,Campohermoso,8.71,1,True
Raf,Campohermoso,9.6,3,True
bola,Nijar,5.75,3,True
corazon de buey,Nijar,3.91,2,False
 de pera,El Alquian,7.27,1,True
cherry,Nijar,2.77,2,True
Raf,Campohermoso,7.78,2,True
corazon de buey,Nijar,1.62,4,False
Raf,Campohermoso,1.77,1,True
verde,El Alquian,0.22,2,True
rosa,Campohermoso,7.24,4,True
corazon de buey,El Alquian,7.41,4,False
cherry,Nijar,7.78,2,True
rosa,El Ejido,4.45,3,True
kumato,El Ejido,2.16,4,True
kumato,La Mojonera,7.41,3,True
verde,Campohermoso,4.79,3,True
corazon de buey,Campohermoso,0.52,4,False
rosa,Campohermoso,0.72,2,False
cherry,Nijar,3.39,1,False
 de pera,La Mojonera,2.73,3,False
 de pera,El Ejido,0.09,1,True
bola,La Mojonera,9.46,4,False
rosa,El Alquian,3.84,4,False
corazon de buey,El Ejido,6.34,3,True
cherry,La Mojonera,0.06,4,True
corazon de buey,El Alquian,5.43,4,False
 de pera,El Alquian,5.36,3,False
rosa,La Mojonera,1.27,2,True
 de pera,Nijar,0.01,2,False
verde,El Alquian,0.46,2,False
bola,La Mojonera,4.63,1,False
bola,El Alquian,7.83,1,False
rosa,La Mojonera,4.18,2,False
verde,La Mojonera,5.84,4,False
Raf,La Mojonera,8.96,3,False
verde,Campohermoso,5.96,4,True
kumato,Nijar,8.68,1,True
verde,El Ejido,8.4,2,True
kumato,Campohermoso,7.65,3,True
kumato,El Ejido,0.49,3,False
cherry,El Ejido,9.13,4,True
rosa,Nijar,8.1,2,True
verde,El Ejido,3.86,3,False
cherry,La Mojonera,0.64,2,False
bola,La Mojonera,0.08,2,True
 de pera,Campohermoso,8.38,1,False
kumato,Campohermoso,2.62,4,True
Raf,El Ejido,9.68,3,True
kumato,Campohermoso,3.56,1,False
verde,El Ejido,0.65,3,True
bola,Campohermoso,7.19,4,False
rosa,Campohermoso,9.12,1,True
corazon de buey,Nijar,1.03,2,True
verde,El Alquian,1.8,4,False
kumato,Nijar,6.86,4,False
Raf,El Ejido,4.57,2,False
bola,El Ejido,5.68,4,True
cherry,El Alquian,3.05,4,True
kumato,El Ejido,3.93,4,False
kumato,Campohermoso,8.06,3,False
Raf,Campohermoso,5.0,1,True
 de pera,El Alquian,3.18,3,True
corazon de buey,La Mojonera,0.71,1,True
cherry,Campohermoso,1.82,1,False
 de pera,Nijar,3.49,3,False
kumato,El Ejido,6.23,1,False
cherry,La Mojonera,1.23,3,True
corazon de buey,La Mojonera,2.44,3,False
 de pera,El Alquian,8.19,4,True
verde,Campohermoso,6.24,3,False
verde,La Mojonera,1.86,4,False
verde,La Mojonera,3.29,4,False
Raf,Campohermoso,5.99,2,True
 de pera,El Ejido,4.6,2,True
cherry,Nijar,6.23,2,False
corazon de buey,La Mojonera,3.87,3,True
cherry,Nijar,0.17,1,False
corazon de buey,Campohermoso,7.89,3,False
bola,El Alquian,8.73,2,True
bola,La Mojonera,6.34,3,True
Raf,El Ejido,2.15,3,False
corazon de buey,El Ejido,1.61,3,False
bola,El Ejido,2.33,1,False
verde,Nijar,3.65,4,True
rosa,La Mojonera,7.82,2,False
kumato,El Alquian,1.91,3,False
Raf,El Alquian,1.77,3,False
verde,La Mojonera,1.7,4,True
 de pera,Campohermoso,5.78,1,False
rosa,El Alquian,8.02,4,True
Raf,La Mojonera,0.88,2,True
corazon de buey,Campohermoso,3.95,2,True
cherry,El Ejido,9.32,3,False
rosa,La Mojonera,9.96,4,False
verde,El Alquian,7.34,4,True
kumato,El Alquian,9.55,1,True
kumato,Campohermoso,9.01,4,True
 de pera,Nijar,4.78,3,True
rosa,Campohermoso,7.53,1,False
bola,El Ejido,7.91,4,True
rosa,La Mojonera,5.29,4,False
corazon de buey,Campohermoso,2.76,1,False
Raf,Campohermoso,1.3,1,True
corazon de buey,Nijar,5.17,1,False
cherry,El Alquian,1.27,2,True
Raf,La Mojonera,7.51,1,True
verde,El Alquian,5.4,1,False
Raf,Campohermoso,5.88,3,True
verde,Nijar,0.03,4,True
corazon de buey,El Ejido,1.86,4,True
corazon de buey,El Alquian,5.08,2,True
kumato,El Alquian,6.95,3,False
verde,Nijar,4.72,1,False
bola,El Ejido,4.59,3,False
 de pera,El Ejido,2.19,1,False
 de pera,Campohermoso,9.05,2,True
corazon de buey,El Ejido,7.67,4,False
bola,Campohermoso,3.3,4,True
verde,El Alquian,8.55,3,False
 de pera,La Mojonera,0.08,3,True
rosa,El Ejido,3.0,4,True
bola,El Ejido,4.04,1,True
verde,El Alquian,1.17,4,True
rosa,El Alquian,3.59,4,False
cherry,Campohermoso,8.41,1,True
rosa,Campohermoso,1.01,2,False
kumato,El Ejido,6.83,2,False
verde,Campohermoso,0.77,1,True
 de pera,La Mojonera,1.73,2,True
bola,El Alquian,8.58,1,False
kumato,La Mojonera,2.63,2,False
cherry,El Alquian,1.25,4,True
 de pera,Campohermoso,7.75,1,False
cherry,Campohermoso,6.82,3,False
 de pera,El Alquian,3.41,4,False
verde,El Ejido,6.68,3,True
rosa,Nijar,2.68,1,False
bola,La Mojonera,2.79,4,True
corazon de buey,Nijar,1.91,4,False
corazon de buey,Campohermoso,7.56,2,True
bola,El Ejido,5.53,4,False
bola,Campohermoso,5.64,4,False
verde,Campohermoso,3.93,4,False
corazon de buey,Campohermoso,2.76,3,True
rosa,El Alquian,8.73,1,True
 de pera,El Alquian,5.8,3,True
kumato,Campohermoso,0.1,4,True
rosa,Campohermoso,8.57,2,False
kumato,El Ejido,6.49,2,False
bola,Campohermoso,0.42,3,True
kumato,La Mojonera,9.2,3,True
corazon de buey,El Ejido,9.48,4,True
verde,El Alquian,8.98,1,True
cherry,Nijar,1.38,4,True
rosa,El Ejido,5.38,2,True
 de pera,La Mojonera,8.43,4,False
rosa,Campohermoso,8.24,4,True
Raf,Campohermoso,3.63,3,False
 de pera,Nijar,2.72,2,False
rosa,La Mojonera,0.75,1,True
verde,La Mojonera,8.14,4,True
rosa,Nijar,2.4,2,False
bola,Nijar,6.95,4,True
kumato,El Ejido,4.43,3,True
cherry,El Alquian,7.92,3,True
cherry,Campohermoso,5.13,3,False
cherry,Nijar,9.98,3,False
cherry,Nijar,4.02,2,True
 de pera,El Alquian,7.31,2,False
 de pera,El Alquian,0.14,1,False
verde,La Mojonera,2.53,1,False
verde,Nijar,4.01,2,True
verde,Campohermoso,1.68,4,False
cherry,Nijar,3.26,4,True
cherry,La Mojonera,0.25,4,True
cherry,La Mojonera,9.89,2,False
verde,La Mojonera,9.82,4,False
bola,Campohermoso,1.45,1,True
cherry,Campohermoso,5.14,1,True
kumato,Nijar,2.51,1,True
cherry,Nijar,9.55,1,False
corazon de buey,El Alquian,0.69,3,True
Raf,Nijar,0.72,4,True
 de pera,La Mojonera,6.52,2,False
Raf,El Ejido,3.93,2,False
cherry,Nijar,3.85,3,False
rosa,Campohermoso,3.63,2,False
 de pera,La Mojonera,7.76,1,False
 de pera,Nijar,4.99,1,False
 de pera,Nijar,9.42,4,False
kumato,El Alquian,2.93,3,True
 de pera,La Mojonera,9.08,1,False
 de pera,Nijar,0.4,3,False
verde,La Mojonera,5.66,1,True
bola,El Alquian,8.69,4,False
Raf,El Ejido,6.39,1,False
cherry,La Mojonera,7.88,4,False
Raf,La Mojonera,1.79,4,True
rosa,El Ejido,2.09,1,True
verde,El Ejido,6.74,2,True
kumato,El Ejido,3.78,4,False
 de pera,La Mojonera,3.88,2,False
 de pera,Nijar,3.72,1,True
cherry,El Ejido,6.36,3,False
kumato,La Mojonera,5.07,4,True
 de pera,La Mojonera,9.95,2,True
cherry,Campohermoso,8.35,2,False
kumato,Campohermoso,9.68,3,True
cherry,El Alquian,5.04,1,False
verde,La Mojonera,1.48,2,True
rosa,La Mojonera,8.76,3,True
Raf,La Mojonera,6.52,3,True
 de pera,La Mojonera,4.33,1,False
corazon de buey,El Alquian,5.37,3,True
cherry,Campohermoso,0.95,4,False
rosa,Campohermoso,4.72,2,True
rosa,Campohermoso,6.28,3,False
verde,El Alquian,2.0,3,True
Raf,El Alquian,2.16,3,False
verde,La Mojonera,9.68,4,False
kumato,Campohermoso,2.87,4,False
 de pera,El Alquian,6.15,4,False
Raf,La Mojonera,7.11,2,True
kumato,El Ejido,9.07,2,False
bola,El Ejido,9.13,2,True
rosa,La Mojonera,4.98,3,True
 de pera,El Alquian,5.33,3,True
kumato,Campohermoso,0.51,3,True
corazon de buey,La Mojonera,1.36,3,False
corazon de buey,La Mojonera,3.89,1,True
corazon de buey,Campohermoso,1.0,2,True
rosa,Campohermoso,9.92,1,True
bola,El Alquian,2.06,3,False
rosa,Nijar,7.6,3,True
corazon de buey,El Alquian,2.19,4,False
corazon de buey,El Alquian,5.77,3,False
rosa,La Mojonera,3.91,1,False
bola,Campohermoso,0.76,1,True
cherry,Nijar,3.16,2,True
bola,La Mojonera,1.52,1,True
rosa,La Mojonera,5.73,3,False
corazon de buey,Campohermoso,2.36,3,False
corazon de buey,Campohermoso,0.12,2,True
rosa,Campohermoso,0.62,3,True
cherry,Campohermoso,8.57,2,False
bola,Nijar,6.77,4,True
bola,El Alquian,0.3,3,False
kumato,La Mojonera,0.34,1,True
cherry,El Ejido,6.86,4,True
Raf,El Ejido,2.31,2,False
bola,El Ejido,3.8,4,False
bola,El Alquian,9.92,1,False
 de pera,Nijar,4.81,2,True
verde,El Alquian,6.43,1,True
rosa,El Alquian,3.08,1,False
cherry,El Alquian,5.2,2,True
verde,Campohermoso,8.47,1,False
rosa,El Ejido,2.64,1,True
verde,El Alquian,2.64,2,True
rosa,Campohermoso,3.82,2,True
 de pera,Nijar,2.08,4,False
 de pera,El Alquian,4.82,3,False
kumato,Campohermoso,7.75,3,True
corazon de buey,El Ejido,7.8,3,True
 de pera,Campohermoso,5.05,2,True
rosa,Nijar,5.91,2,True
cherry,Nijar,6.19,2,False
cherry,El Ejido,4.23,4,False
bola,Campohermoso,3.59,4,False
rosa,El Alquian,4.9,3,True
corazon de buey,Campohermoso,9.0,3,True
 de pera,El Alquian,5.42,1,True
Raf,Campohermoso,7.54,4,True
bola,Campohermoso,6.79,1,True
 de pera,El Ejido,2.56,2,True
