Cultivo,Ubicación,Tamaño,Rendimiento,Fertilizantes
banano,Murcia,Pequeña,1.28,True
cacao,Murcia,Mediana,9.14,False
cacao,Murcia,Pequeña,5.98,False
maíz,Murcia,Mediana,4.21,False
cacao,Almeria,Mediana,9.62,False
trigo,Almeria,Mediana,5.06,True
maíz,Granada,Pequeña,4.86,True
banano,Granada,Pequeña,9.7,True
café,Canarias,Pequeña,4.68,False
café,Valencia,Mediana,7.92,True
cacao,Granada,Grande,2.61,False
café,Canarias,Mediana,3.72,False
trigo,Almeria,Pequeña,7.12,False
cacao,Murcia,Pequeña,1.84,True
maíz,Murcia,Pequeña,3.37,True
cacao,Canarias,Mediana,6.65,False
arroz,Murcia,Grande,6.27,False
arroz,Almeria,Mediana,7.09,False
cacao,Granada,Grande,3.8,True
banano,Almeria,Grande,8.05,True
arroz,Valencia,Mediana,2.36,False
cacao,Almeria,Mediana,7.06,True
maíz,Canarias,Grande,8.09,True
maíz,Valencia,Mediana,3.4,False
arroz,Valencia,Mediana,2.93,False
café,Granada,Pequeña,7.42,False
cacao,Almeria,Mediana,3.51,False
café,Valencia,Pequeña,1.88,False
café,Valencia,Mediana,6.53,False
maíz,Canarias,Grande,5.8,False
cacao,Valencia,Mediana,4.69,True
café,Granada,Pequeña,6.67,True
café,Canarias,Pequeña,7.47,False
trigo,Valencia,Grande,3.01,False
maíz,Valencia,Mediana,7.19,False
café,Almeria,Grande,6.97,True
maíz,Murcia,Mediana,1.09,True
banano,Almeria,Mediana,7.79,False
maíz,Almeria,Mediana,5.49,False
trigo,Almeria,Pequeña,2.85,True
trigo,Murcia,Mediana,4.21,True
cacao,Murcia,Mediana,1.08,False
arroz,Valencia,Grande,8.1,True
café,Valencia,Pequeña,6.96,False
banano,Almeria,Grande,8.51,True
trigo,Granada,Grande,3.35,True
cacao,Almeria,Grande,4.14,True
arroz,Granada,Pequeña,9.6,False
trigo,Granada,Grande,6.27,False
arroz,Granada,Pequeña,5.94,False
arroz,Almeria,Mediana,5.34,False
cacao,Granada,Grande,8.84,False
maíz,Canarias,Mediana,7.08,False
café,Almeria,Grande,2.45,True
café,Valencia,Pequeña,2.53,False
cacao,Almeria,Pequeña,5.28,True
cacao,Granada,Pequeña,3.14,True
maíz,Murcia,Pequeña,7.03,True
cacao,Murcia,Grande,2.08,False
arroz,Almeria,Grande,8.58,True
banano,Granada,Mediana,7.24,False
banano,Murcia,Mediana,5.46,True
arroz,Granada,Pequeña,6.53,False
maíz,Almeria,Mediana,2.22,False
cacao,Almeria,Grande,1.9,False
café,Murcia,Pequeña,9.75,False
arroz,Granada,Mediana,1.21,False
cacao,Almeria,Grande,1.56,True
cacao,Murcia,Grande,2.93,True
banano,Granada,Pequeña,3.53,True
banano,Murcia,Mediana,8.69,True
arroz,Canarias,Grande,9.93,True
café,Murcia,Mediana,7.24,False
trigo,Valencia,Mediana,9.82,False
café,Almeria,Pequeña,2.86,False
café,Canarias,Grande,1.45,True
cacao,Granada,Mediana,7.2,True
banano,Valencia,Grande,7.05,False
banano,Granada,Grande,9.13,True
cacao,Almeria,Pequeña,6.72,False
cacao,Murcia,Grande,2.29,False
trigo,Murcia,Grande,8.78,True
banano,Granada,Grande,5.27,False
cacao,Almeria,Mediana,7.66,False
arroz,Almeria,Grande,5.58,True
banano,Almeria,Pequeña,1.79,False
café,Murcia,Mediana,9.49,True
café,Valencia,Pequeña,6.43,True
maíz,Murcia,Pequeña,7.86,True
arroz,Granada,Pequeña,8.78,False
arroz,Valencia,Pequeña,6.9,False
trigo,Canarias,Grande,1.69,True
banano,Canarias,Mediana,8.3,True
banano,Granada,Mediana,4.97,False
banano,Granada,Mediana,8.58,True
banano,Valencia,Pequeña,4.49,False
trigo,Valencia,Grande,7.07,True
café,Almeria,Grande,6.27,True
banano,Granada,Mediana,8.93,False
arroz,Murcia,Mediana,1.2,False
banano,Canarias,Pequeña,8.0,False
maíz,Canarias,Grande,2.55,True
cacao,Murcia,Mediana,5.0,True
arroz,Almeria,Grande,5.84,False
maíz,Almeria,Mediana,2.07,True
trigo,Canarias,Mediana,2.64,False
trigo,Valencia,Pequeña,9.49,False
banano,Canarias,Grande,2.3,True
maíz,Canarias,Mediana,2.21,True
maíz,Murcia,Mediana,4.03,True
maíz,Valencia,Mediana,3.39,True
banano,Murcia,Grande,4.4,False
trigo,Valencia,Pequeña,6.49,True
café,Valencia,Pequeña,6.15,True
maíz,Granada,Pequeña,4.56,True
maíz,Granada,Pequeña,3.47,False
trigo,Canarias,Mediana,1.4,True
banano,Murcia,Pequeña,4.56,False
cacao,Valencia,Mediana,7.21,False
trigo,Granada,Grande,9.17,True
arroz,Almeria,Grande,2.41,True
cacao,Almeria,Mediana,7.31,True
cacao,Murcia,Grande,3.13,True
arroz,Almeria,Pequeña,6.59,False
banano,Murcia,Grande,9.95,False
café,Canarias,Grande,7.65,True
arroz,Murcia,Mediana,8.1,True
maíz,Canarias,Pequeña,2.8,False
trigo,Canarias,Pequeña,9.36,True
maíz,Murcia,Grande,8.81,False
café,Almeria,Mediana,5.94,False
trigo,Canarias,Mediana,4.43,True
maíz,Granada,Grande,2.91,True
café,Canarias,Pequeña,7.45,False
maíz,Almeria,Grande,7.06,True
trigo,Canarias,Pequeña,9.62,False
cacao,Granada,Pequeña,8.17,False
cacao,Granada,Pequeña,4.94,True
cacao,Valencia,Grande,9.2,False
maíz,Valencia,Mediana,1.66,True
café,Canarias,Pequeña,1.62,False
arroz,Valencia,Grande,8.49,False
banano,Canarias,Grande,6.88,True
trigo,Granada,Grande,7.89,False
banano,Murcia,Mediana,2.26,False
banano,Almeria,Grande,3.03,True
trigo,Valencia,Mediana,3.6,False
trigo,Almeria,Grande,1.83,True
maíz,Canarias,Mediana,6.78,False
trigo,Almeria,Mediana,4.67,True
trigo,Murcia,Grande,6.68,True
maíz,Canarias,Grande,5.05,False
banano,Valencia,Grande,2.31,True
maíz,Valencia,Grande,4.0,True
trigo,Granada,Grande,8.78,True
café,Almeria,Pequeña,3.46,False
café,Almeria,Pequeña,2.29,True
arroz,Almeria,Grande,5.72,True
arroz,Canarias,Mediana,2.55,True
café,Murcia,Mediana,5.28,True
café,Canarias,Grande,1.91,True
banano,Almeria,Pequeña,1.99,True
cacao,Almeria,Mediana,3.98,True
cacao,Canarias,Grande,7.44,False
arroz,Valencia,Pequeña,6.13,True
cacao,Almeria,Grande,4.6,False
banano,Canarias,Mediana,6.73,False
banano,Murcia,Pequeña,1.43,True
café,Canarias,Mediana,7.74,False
trigo,Almeria,Mediana,2.53,True
cacao,Almeria,Pequeña,8.7,True
cacao,Granada,Mediana,7.73,False
cacao,Murcia,Grande,9.33,True
banano,Granada,Grande,2.5,True
arroz,Murcia,Mediana,1.26,True
banano,Granada,Grande,7.41,False
maíz,Murcia,Mediana,1.38,True
maíz,Almeria,Grande,3.45,True
banano,Granada,Grande,3.85,True
cacao,Almeria,Mediana,4.59,True
maíz,Granada,Grande,5.8,True
maíz,Valencia,Pequeña,3.63,False
arroz,Granada,Grande,9.84,True
maíz,Almeria,Mediana,4.47,True
café,Valencia,Mediana,2.7,False
café,Murcia,Mediana,5.67,True
maíz,Murcia,Grande,1.03,False
banano,Canarias,Mediana,3.9,False
café,Granada,Mediana,5.35,True
banano,Canarias,Mediana,5.99,True
café,Granada,Mediana,4.04,True
maíz,Canarias,Pequeña,3.84,False
cacao,Valencia,Grande,4.22,False
café,Granada,Pequeña,6.16,False
maíz,Valencia,Mediana,3.56,True
café,Granada,Grande,1.68,False
cacao,Valencia,Mediana,4.92,False
cacao,Canarias,Grande,2.85,True
maíz,Granada,Mediana,4.06,False
trigo,Murcia,Grande,6.15,False
trigo,Canarias,Mediana,6.33,True
trigo,Canarias,Pequeña,6.36,False
maíz,Almeria,Mediana,7.45,True
cacao,Valencia,Grande,4.45,False
café,Almeria,Pequeña,5.45,True
café,Granada,Mediana,7.35,True
banano,Almeria,Pequeña,2.21,True
maíz,Canarias,Grande,1.97,True
trigo,Granada,Pequeña,1.89,True
café,Valencia,Pequeña,7.26,False
maíz,Canarias,Pequeña,2.34,True
banano,Granada,Mediana,9.15,False
arroz,Granada,Grande,9.51,True
trigo,Canarias,Pequeña,5.98,True
maíz,Almeria,Mediana,3.67,False
maíz,Canarias,Grande,1.52,False
arroz,Valencia,Pequeña,2.54,False
trigo,Almeria,Pequeña,6.3,False
cacao,Murcia,Pequeña,5.29,False
café,Valencia,Mediana,6.32,False
café,Almeria,Grande,5.24,True
arroz,Almeria,Pequeña,5.0,False
maíz,Granada,Pequeña,5.65,True
cacao,Murcia,Mediana,8.78,True
trigo,Canarias,Mediana,2.68,False
maíz,Valencia,Pequeña,8.14,True
banano,Granada,Mediana,2.84,True
trigo,Almeria,Mediana,2.66,False
banano,Almeria,Pequeña,8.35,True
arroz,Valencia,Pequeña,8.28,True
arroz,Granada,Grande,7.44,False
arroz,Valencia,Pequeña,7.0,True
cacao,Valencia,Pequeña,2.45,True
arroz,Granada,Grande,9.95,False
cacao,Granada,Grande,4.85,False
maíz,Valencia,Pequeña,3.26,False
café,Murcia,Pequeña,4.67,False
café,Valencia,Pequeña,3.13,True
banano,Valencia,Mediana,1.51,True
café,Murcia,Mediana,4.58,True
café,Murcia,Pequeña,3.63,False
arroz,Murcia,Pequeña,7.58,False
maíz,Granada,Grande,2.83,False
banano,Granada,Mediana,9.62,True
arroz,Almeria,Pequeña,7.45,True
trigo,Murcia,Mediana,7.15,True
trigo,Canarias,Mediana,5.03,True
banano,Murcia,Mediana,2.86,False
banano,Almeria,Mediana,4.7,True
trigo,Valencia,Pequeña,3.74,False
maíz,Canarias,Grande,1.82,True
cacao,Valencia,Mediana,5.38,False
cacao,Murcia,Grande,2.57,False
cacao,Valencia,Pequeña,6.97,True
café,Granada,Grande,2.2,True
maíz,Canarias,Grande,6.02,True
cacao,Murcia,Pequeña,6.32,False
trigo,Valencia,Grande,5.4,True
trigo,Murcia,Pequeña,7.72,False
cacao,Valencia,Mediana,9.04,True
maíz,Almeria,Grande,9.14,True
maíz,Almeria,Pequeña,4.57,True
maíz,Almeria,Grande,5.02,False
maíz,Granada,Pequeña,8.94,False
arroz,Murcia,Grande,7.35,True
cacao,Almeria,Pequeña,4.53,True
arroz,Valencia,Grande,7.18,True
banano,Murcia,Mediana,7.37,False
cacao,Canarias,Grande,2.45,True
trigo,Granada,Grande,2.67,False
cacao,Granada,Pequeña,7.74,False
café,Almeria,Pequeña,6.84,False
arroz,Almeria,Mediana,4.38,True
cacao,Canarias,Mediana,5.53,False
café,Canarias,Grande,9.73,False
cacao,Canarias,Pequeña,3.58,False
maíz,Canarias,Pequeña,3.18,True
arroz,Murcia,Mediana,3.23,False
maíz,Canarias,Mediana,5.38,True
trigo,Canarias,Mediana,5.8,False
maíz,Canarias,Grande,5.76,False
trigo,Murcia,Pequeña,3.51,True
trigo,Valencia,Mediana,5.63,False
arroz,Almeria,Pequeña,2.54,False
banano,Murcia,Pequeña,6.92,False
cacao,Granada,Mediana,2.93,False
café,Almeria,Pequeña,7.86,False
café,Murcia,Grande,5.98,True
café,Granada,Pequeña,3.14,True
cacao,Granada,Mediana,9.76,False
maíz,Murcia,Grande,5.19,True
arroz,Almeria,Mediana,2.72,False
cacao,Murcia,Pequeña,3.54,False
arroz,Granada,Mediana,1.49,True
banano,Granada,Pequeña,6.5,False
trigo,Valencia,Grande,4.23,True
maíz,Valencia,Pequeña,9.76,False
café,Granada,Mediana,7.86,False
banano,Granada,Grande,4.94,False
café,Almeria,Mediana,8.92,True
trigo,Granada,Grande,9.81,True
banano,Granada,Grande,6.62,False
maíz,Granada,Grande,7.83,True
maíz,Murcia,Grande,3.38,False
arroz,Almeria,Mediana,5.08,False
cacao,Granada,Pequeña,8.87,False
arroz,Granada,Grande,8.21,False
cacao,Valencia,Pequeña,8.4,False
arroz,Almeria,Mediana,6.67,True
maíz,Canarias,Mediana,6.76,True
trigo,Granada,Pequeña,6.8,True
trigo,Murcia,Mediana,4.16,True
cacao,Valencia,Pequeña,8.96,False
café,Murcia,Pequeña,2.62,True
arroz,Canarias,Pequeña,3.25,False
banano,Murcia,Pequeña,8.59,True
maíz,Canarias,Grande,2.04,False
café,Granada,Pequeña,8.5,True
café,Granada,Pequeña,9.5,True
trigo,Murcia,Mediana,1.23,True
trigo,Canarias,Grande,1.71,False
cacao,Granada,Grande,4.4,False
café,Canarias,Grande,2.51,False
banano,Valencia,Pequeña,8.55,True
banano,Almeria,Grande,1.7,False
café,Canarias,Mediana,4.46,True
cacao,Almeria,Pequeña,7.48,False
arroz,Canarias,Mediana,6.61,True
arroz,Almeria,Mediana,9.69,False
café,Valencia,Mediana,5.43,True
cacao,Valencia,Pequeña,2.16,False
maíz,Canarias,Pequeña,9.42,False
cacao,Almeria,Grande,8.69,False
banano,Canarias,Grande,6.64,True
café,Valencia,Pequeña,8.43,False
arroz,Almeria,Grande,6.83,False
arroz,Valencia,Grande,7.23,True
maíz,Granada,Grande,2.96,True
maíz,Murcia,Pequeña,1.74,True
banano,Valencia,Mediana,1.96,True
banano,Murcia,Pequeña,4.16,True
arroz,Valencia,Mediana,3.7,True
banano,Granada,Pequeña,9.34,False
café,Canarias,Grande,8.03,False
cacao,Canarias,Pequeña,1.13,False
banano,Almeria,Pequeña,9.64,True
café,Canarias,Pequeña,7.6,False
cacao,Murcia,Pequeña,8.95,False
maíz,Canarias,Pequeña,1.16,False
arroz,Granada,Grande,7.29,False
banano,Almeria,Mediana,4.31,True
café,Granada,Mediana,2.39,False
trigo,Canarias,Grande,5.95,True
banano,Almeria,Mediana,6.1,True
arroz,Almeria,Grande,7.23,False
café,Valencia,Pequeña,5.01,True
cacao,Murcia,Grande,4.33,True
cacao,Murcia,Mediana,9.27,False
arroz,Canarias,Grande,5.61,False
trigo,Canarias,Pequeña,6.25,True
trigo,Granada,Grande,7.85,True
café,Almeria,Pequeña,3.56,True
cacao,Murcia,Pequeña,9.43,False
arroz,Granada,Mediana,1.77,True
banano,Canarias,Mediana,4.37,False
trigo,Murcia,Grande,5.0,True
trigo,Murcia,Grande,5.93,True
trigo,Murcia,Pequeña,9.19,True
banano,Murcia,Mediana,4.01,False
café,Valencia,Grande,9.46,True
banano,Valencia,Grande,7.1,False
café,Valencia,Pequeña,7.64,False
arroz,Granada,Pequeña,5.71,False
trigo,Valencia,Grande,3.99,True
arroz,Murcia,Pequeña,6.69,False
arroz,Almeria,Grande,2.54,False
trigo,Valencia,Pequeña,4.85,False
cacao,Almeria,Mediana,5.63,True
maíz,Canarias,Grande,3.46,False
maíz,Granada,Pequeña,1.17,False
banano,Valencia,Pequeña,3.65,False
banano,Granada,Mediana,1.91,True
arroz,Granada,Pequeña,8.28,False
cacao,Canarias,Grande,1.62,True
trigo,Granada,Pequeña,1.05,True
arroz,Almeria,Grande,6.53,False
trigo,Valencia,Grande,3.96,False
banano,Granada,Grande,4.41,False
maíz,Granada,Grande,4.63,False
arroz,Canarias,Pequeña,2.16,True
cacao,Valencia,Mediana,5.49,True
arroz,Granada,Pequeña,5.98,True
café,Granada,Pequeña,7.1,True
trigo,Granada,Pequeña,9.39,False
arroz,Granada,Grande,3.11,False
cacao,Murcia,Pequeña,1.47,True
trigo,Almeria,Mediana,1.56,True
arroz,Canarias,Pequeña,2.55,False
banano,Canarias,Grande,4.04,False
arroz,Murcia,Pequeña,7.94,False
arroz,Valencia,Pequeña,7.46,True
café,Almeria,Grande,7.48,True
café,Murcia,Mediana,3.94,True
trigo,Murcia,Grande,6.92,False
cacao,Almeria,Pequeña,6.62,False
cacao,Canarias,Mediana,7.62,False
banano,Granada,Mediana,4.97,False
café,Valencia,Pequeña,8.39,True
cacao,Murcia,Grande,5.61,True
maíz,Almeria,Pequeña,3.37,True
maíz,Almeria,Grande,5.92,False
maíz,Murcia,Grande,8.43,True
banano,Canarias,Mediana,6.78,True
cacao,Almeria,Grande,2.31,True
trigo,Valencia,Mediana,2.88,False
cacao,Valencia,Grande,1.11,True
café,Granada,Mediana,9.11,True
trigo,Canarias,Mediana,1.99,False
café,Granada,Pequeña,6.59,True
cacao,Almeria,Grande,9.89,True
banano,Murcia,Pequeña,1.27,True
café,Murcia,Mediana,3.09,True
cacao,Granada,Grande,3.65,True
trigo,Valencia,Mediana,2.79,False
trigo,Murcia,Grande,8.27,True
trigo,Valencia,Mediana,9.22,False
cacao,Murcia,Grande,7.95,False
cacao,Murcia,Mediana,2.64,True
